YEAR,MONTH,BAND,ALBUM,GENRE,RATING,BEST SONG,
2017,JANUARY,Run the Jewels,Run the Jewels 3,Rap,6,“2100 (feat. BOOTS)”,
2017,JANUARY,William Basinski,A Shadow in Time,Ambient,6,,
2017,JANUARY,The xx,I See You,Indie Pop,9,“On Hold”,
,,,,,,,
2017,FEBRUARY,Dirty Projectors,Dirty Projectors,Indie Rock,8,“Cool Your Heart”,
2017,FEBRUARY,Jens Lekman,Life Will See You Now,Indie Pop,8,“What's That Perfume That You Wear?”,
2017,FEBRUARY,Jesca Hoop,Memories Are Now,Indie Folk,8,“The Lost Sky”,
2017,FEBRUARY,Peter Silberman ,Impermanence ,Indie Rock,6,,
2017,FEBRUARY,Power Trip,Nightmare Logic,Metal,6,,
2017,FEBRUARY,Ryan Adams,Prisoner,Indie Rock,9,“Anything I Say To You Now”,
2017,FEBRUARY,Sampha,Process,R&B,8,“(No One Knows Me) Like The Piano”,
2017,FEBRUARY,Sun Kil Moon,Common As Light and Love Are Red Valleys of Blood,Indie Folk,6,“Bergen to Trondheim”,
2017,FEBRUARY,Thundercat,Drunk,R&B,7,“Walk On By (feat. Kendrick Lamar)”,
2017,FEBRUARY,Vagabon,Infinite Worlds,Indie Rock,8,“Cold Apartment”,
2017,FEBRUARY,Visible Cloaks,Reassemblage,Electronic,7,“Neume (feat. Matt Carlson)”,
2017,FEBRUARY,Xiu Xiu,Forget,Art Rock,8,“Get Up”,
,,,,,,,
2017,MARCH,Aimee Mann,Mental Illness,Indie Rock,7,“Goose Snow Cone”,
2017,MARCH,ANOHNI,PARADISE EP,Art Pop,7,“In My Dreams”,
2017,MARCH,Blanck Mass,World Eater,Electronic,8,“Silent Treatment”,
2017,MARCH,Charli XCX,Number 1 Angel,Electro Pop,7,“ILY2”,
2017,MARCH,Drake,More Life,Rap,7,“Passionfruit”,
2017,MARCH,Jay Som,Everybody Works,Indie Rock,9,“Baybee”,
2017,MARCH,Kelly Lee Owens,Kelly Lee Owens,Electronic,6,,
2017,MARCH,Laura Marling,Semper Femina,Indie Folk,6,“Wild Fire”,
